train_loss,main_type_acc,attrs_acc,correctness
0.5709391821359151,0.895593220338983,0.7461694915254237,1.0
0.4038448177769768,0.8918644067796611,0.7521045197740112,1.0
0.3614126440206807,0.9094915254237288,0.7773135593220338,1.0
0.32037735628862024,0.912542372881356,0.7699011299435027,1.0
0.31436604412527197,0.8983050847457628,0.7687909604519774,1.0
0.3001008480280435,0.8986440677966102,0.7634378531073446,1.0
0.2674231399400261,0.9122033898305085,0.7773615819209038,1.0
0.27211377528132585,0.9040677966101694,0.7818305084745762,1.0
0.24890092260118718,0.9145762711864407,0.7628446327683615,1.0
0.23995158134405728,0.9145762711864407,0.7755367231638418,1.0
0.14699536890242842,0.9288135593220339,0.7970197740112995,1.0
0.10783842480889297,0.931864406779661,0.8051610169491525,1.0
0.09025039273795463,0.9345762711864407,0.8054519774011298,1.0
0.07582016428378656,0.9359322033898305,0.8051836158192092,1.0
0.06411670236803235,0.9355932203389831,0.8089830508474576,1.0
0.05587186795923313,0.9366101694915254,0.8071214689265537,1.0
0.05123185577611064,0.9328813559322033,0.8077514124293785,1.0
0.042198303995700154,0.9308474576271186,0.8047937853107344,1.0
0.04011342252345015,0.9338983050847458,0.8121158192090396,1.0
0.03404943471971696,0.9345762711864407,0.8089774011299434,1.0
0.02886598396572415,0.9359322033898305,0.8124265536723165,1.0
0.027343166502953126,0.9359322033898305,0.8128785310734463,1.0
0.02585804058026606,0.9369491525423729,0.813268361581921,1.0
0.026425160664981434,0.9342372881355933,0.811906779661017,1.0
0.02481968153486774,0.9342372881355933,0.8131977401129944,1.0
0.023248428035157188,0.9359322033898305,0.8127090395480226,1.0
0.023501010300332116,0.9372881355932203,0.8137994350282486,1.0
0.021637927761817652,0.9372881355932203,0.8137994350282485,1.0
0.022244230645476985,0.9366101694915254,0.8137655367231639,1.0
0.02080383422659006,0.9369491525423729,0.814087570621469,1.0
0.02200066251233423,0.9369491525423729,0.814310734463277,1.0
0.021191270323352593,0.9369491525423729,0.8145056497175143,1.0
0.019496348445539494,0.9372881355932203,0.8144435028248589,1.0
0.020641888245375318,0.9372881355932203,0.8148361581920904,1.0
0.019439489346420775,0.9372881355932203,0.814991525423729,1.0
0.019019380471752577,0.9366101694915254,0.8145112994350283,1.0
0.02043996273260829,0.9366101694915254,0.8143135593220339,1.0
0.02124172877587268,0.9369491525423729,0.8148502824858758,1.0
0.020621753550778853,0.9376271186440678,0.8153276836158192,1.0
0.02034256023953971,0.9366101694915254,0.814774011299435,1.0
