Wall time,Step,Value
1707938917.7938557,1,0.808474600315094
1707939222.6786988,2,0.8532203435897827
1707939535.4783075,3,0.6576271057128906
1707939848.1067219,4,0.6816949248313904
1707940161.7550673,5,0.8020339012145996
1707940477.1612573,6,0.846101701259613
1707940791.447415,7,0.7240678071975708
1707941106.542307,8,0.8650847673416138
1707941421.9569733,9,0.8372881412506104
1707941737.3904777,10,0.8355932235717773
1707942052.1461246,11,0.9806779623031616
1707942368.9783607,12,0.9874576330184937
1707942683.341651,13,0.9850847721099854
1707942998.0829492,14,0.9901694655418396
1707943313.1835623,15,0.9935593008995056
1707943627.6575096,16,0.9911864399909973
1707943942.230437,17,0.990508496761322
1707944256.8304322,18,0.9908474683761597
1707944571.3472528,19,0.9833898544311523
1707944884.8360312,20,0.9901694655418396
1707945197.6353805,21,0.9935593008995056
1707945509.4177432,22,0.993220329284668
1707945822.2794635,23,0.993220329284668
1707946135.7826383,24,0.9925423860549927
1707946449.1054068,25,0.9935593008995056
1707946763.4199975,26,0.993220329284668
1707947076.9103608,27,0.9935593008995056
1707947390.4030502,28,0.9935593008995056
1707947901.3108673,29,0.9945762753486633
1707948575.811181,30,0.9942373037338257
1707949250.4904096,31,0.9945762753486633
1707949923.7404814,32,0.9942373037338257
1707950598.6107192,33,0.9942373037338257
1707951272.8635263,34,0.9942373037338257
1707951950.820928,35,0.9945762753486633
1707952623.0535884,36,0.9945762753486633
1707953291.7697442,37,0.9945762753486633
1707953963.179011,38,0.9942373037338257
1707954637.0553515,39,0.9942373037338257
1707955308.1375554,40,0.9945762753486633
