Wall time,Step,Value
1711386750.6200602,1,0.5709391832351685
1711387221.0134525,2,0.40384480357170105
1711387695.444988,3,0.3614126443862915
1711388168.21039,4,0.3203773498535156
1711388641.2302425,5,0.31436604261398315
1711389115.045361,6,0.30010083317756653
1711389585.4058228,7,0.267423152923584
1711390059.1582541,8,0.27211377024650574
1711390530.164521,9,0.24890092015266418
1711391005.0819542,10,0.23995158076286316
1711391478.845979,11,0.14699536561965942
1711391950.73706,12,0.10783842206001282
1711392423.4195127,13,0.0902503952383995
1711392896.210447,14,0.07582016289234161
1711393369.962657,15,0.0641167014837265
1711393840.4340508,16,0.0558718666434288
1711394309.4212267,17,0.051231857389211655
1711394778.384563,18,0.0421983040869236
1711395246.5354495,19,0.0401134230196476
1711395713.1016479,20,0.03404943645000458
1711396182.7421796,21,0.028865983709692955
1711396650.256397,22,0.02734316699206829
1711397115.7454457,23,0.025858040899038315
1711397582.2993827,24,0.026425160467624664
1711398047.9453652,25,0.02481968142092228
1711398515.4407868,26,0.023248428478837013
1711398979.8688154,27,0.023501010611653328
1711399444.775491,28,0.0216379277408123
1711399908.9019458,29,0.022244229912757874
1711400371.4077234,30,0.02080383338034153
1711400837.1508443,31,0.022000662982463837
1711401302.4380853,32,0.021191271021962166
1711401768.898726,33,0.01949634775519371
1711402232.8897223,34,0.020641887560486794
1711402815.6610684,35,0.019439488649368286
1711403813.6344066,36,0.01901938021183014
1711404813.9466395,37,0.020439961925148964
1711405808.754647,38,0.021241728216409683
1711406807.7783866,39,0.020621754229068756
1711407799.9642951,40,0.02034256048500538
