Wall time,Step,Value
1707862383.784114,1,0.826440691947937
1707863043.5811281,2,0.8054237365722656
1707863698.5595567,3,0.8301694989204407
1707864360.2109923,4,0.7477965950965881
1707865016.1802652,5,0.8305084705352783
1707865672.871042,6,0.8193220496177673
1707866326.0334024,7,0.8481355905532837
1707866981.5109284,8,0.7911864519119263
1707867635.4294894,9,0.8745762705802917
1707868292.5456781,10,0.8023728728294373
1707868904.6376977,11,0.8742372989654541
1707869424.1015508,12,0.8952542543411255
1707869891.799297,13,0.8928813338279724
1707870200.1225145,14,0.9071186184883118
1707870503.4449036,15,0.9030508399009705
1707870807.2242508,16,0.8942372798919678
1707871109.4570072,17,0.9044067859649658
1707871411.4087284,18,0.8955932259559631
1707871713.1602314,19,0.8989830613136292
1707872014.7627118,20,0.9050847291946411
1707872316.9295113,21,0.9166101813316345
1707872619.5848696,22,0.9196610450744629
1707872921.4130013,23,0.9196610450744629
1707873223.8784964,24,0.9179661273956299
1707873524.988322,25,0.9213559031486511
1707873825.6013415,26,0.9193220138549805
1707874127.712561,27,0.9200000166893005
1707874429.1156049,28,0.9206779599189758
1707874730.7637112,29,0.9203389883041382
1707875032.891416,30,0.9166101813316345
1707875334.4765372,31,0.9200000166893005
1707875636.8547766,32,0.9176270961761475
1707875938.5332186,33,0.9179661273956299
1707876241.7398326,34,0.9172881245613098
1707876545.1082575,35,0.9176270961761475
1707876846.9731522,36,0.9179661273956299
1707877149.576482,37,0.9186440706253052
1707877451.4416437,38,0.9189830422401428
1707877754.4331162,39,0.9183050990104675
1707878056.37142,40,0.9176270961761475
