Wall time,Step,Value
1707938917.793771,1,0.8647457361221313
1707939222.678595,2,0.817966103553772
1707939535.4782014,3,0.8077965974807739
1707939848.106618,4,0.7952542304992676
1707940161.7549613,5,0.8122034072875977
1707940477.1611612,6,0.7613559365272522
1707940791.4473305,7,0.846101701259613
1707941106.5421863,8,0.821355938911438
1707941421.9568706,9,0.8132203221321106
1707941737.3903759,10,0.8216949105262756
1707942052.145975,11,0.8999999761581421
1707942368.978227,12,0.9037288427352905
1707942683.341576,13,0.9166101813316345
1707942998.08285,14,0.9047457575798035
1707943313.183463,15,0.9155932068824768
1707943627.6573997,16,0.9142372608184814
1707943942.2303348,17,0.9183050990104675
1707944256.8302968,18,0.9088135361671448
1707944571.3471627,19,0.9057627320289612
1707944884.835939,20,0.9128813743591309
1707945197.6352746,21,0.9186440706253052
1707945509.4176424,22,0.9186440706253052
1707945822.2793686,23,0.9237288236618042
1707946135.7825234,24,0.9189830422401428
1707946449.105328,25,0.9189830422401428
1707946763.4198928,26,0.9200000166893005
1707947076.9102592,27,0.9189830422401428
1707947390.4029467,28,0.9210169315338135
1707947901.3107731,29,0.9200000166893005
1707948575.8110747,30,0.9213559031486511
1707949250.4903238,31,0.9223728775978088
1707949923.7403429,32,0.9220339059829712
1707950598.6105762,33,0.9220339059829712
1707951272.863421,34,0.9216949343681335
1707951950.8208456,35,0.9227118492126465
1707952623.0534754,36,0.9220339059829712
1707953291.769623,37,0.9220339059829712
1707953963.17889,38,0.9210169315338135
1707954637.0552297,39,0.9210169315338135
1707955308.1374524,40,0.9203389883041382
